Organization Name,Organization Name URL,Last Funding Date,Number of Employees,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Hub Tags,Full Description,Investor Type,Investment Stage,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Funding Status,Top 5 Investors,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,SEMrush - Monthly Visits,Contact Email,Phone Number
Reloadly,https://www.crunchbase.com/organization/reloadly,2021-11-24,11-50,2019-06-01,month,"Developer APIs, Developer Tools, FinTech, PaaS, Telecommunications","Barcelona, Catalonia, Spain",Payment APIs for mobile airtime and digital prepaid value,"17,255",$1M to $10M,Active,For Profit,http://www.reloadly.com,https://twitter.com/Reloadly,https://www.facebook.com/reloadly,https://www.linkedin.com/company/reloadly/,,"Reloadly makes it easy for developers to connect with Mobile operator services. We are disrupting a Trillion dollar industry! Mobile Operators are stuck in old school business models, where most of the world is moving to open source platforms for developers to build amazing products. Reloadly is bridging the gap between mobile operators and developers,  and at the same time creating new sales channels for the 816 mobile operators around the world.",,,,,,Series A,7651405,USD,7651405,,,,Series A,Early Stage Venture,"Wayra, TheVentureCity, Draper B1, Chris Adelsbach, Andreas Mihalovits",,,10,"324,771",support@reloadly.com,3056154909
Autentica,https://www.crunchbase.com/organization/autentica-0d1e,2022-06-01,11-50,2021-03-01,month,"Cryptocurrency, Information Technology, Internet, Software","Zug, Zug, Switzerland",Autentica utilises blockchain technology to certify and authenticate digital assets.,"17,273",,Active,For Profit,https://www.autentica.io/,https://twitter.com/AutenticaHQ,,https://www.linkedin.com/company/autentica-crypto/,,"Autentica is a technology company committed to empowering and safeguarding the creators of the world. With the help of blockchain technology, we have created a 3-dimensional ecosystem helping people create, buy and sell authentic digital assets.",,,1200000,USD,1200000,Pre-Seed,1200000,USD,1200000,1200000,USD,1200000,Pre-Seed,Seed,,,,,,press@autentica.io,
Annotell,https://www.crunchbase.com/organization/annotell,2022-02-03,51-100,2018-01-01,year,"Analytics, Autonomous Vehicles, Machine Learning, Software","Göteborg, Vastra Gotaland, Sweden",The data platform used to make safe perception for autonomous mobility possible.,"17,308",$1M to $10M,Active,For Profit,https://www.annotell.com/,https://twitter.com/annotell,https://www.facebook.com/annotell/,https://www.linkedin.com/company/annotell/,,The analytics and annotation platform used to ensure the performance of perception systems part of autonomous vehicles. We are combining a modern data infrastructure with the safety requirements within the automotive to ensure your needs are covered in relation to developing and validating AD/ADAS functions.,,,24000000,USD,24000000,Series A,32023397,USD,32023397,24000000,USD,24000000,Series A,Early Stage Venture,"Metaplanet Holdings, NordicNinja VC, Stena Sessan, Ernström & Co",,,6,393,daniel@annotell.com,+46 707 406 364
Amberscript,https://www.crunchbase.com/organization/amberscript,2021-11-04,11-50,2017-12-28,day,"Artificial Intelligence, Machine Learning, SaaS, Speech Recognition, Translation Service","Amsterdam, Noord-Holland, The Netherlands",Amberscript is building SaaS solutions that automatically transform audio and video into text and subtitles using speech recognition.,"17,503",$1M to $10M,Active,For Profit,https://www.amberscript.com,https://twitter.com/amber_script,https://www.facebook.com/AmberscriptGlobal,https://www.linkedin.com/company/amberscript,,"Amberscript is building SaaS solutions that enable users to automatically transform audio and video into text and subtitles using speech recognition. The company uses the data that users generate to train the speech recognition engines in European languages. Amberscript's online text editor and human transcribers bring the text to 100% accuracy. Amberscript was founded in 2017 and is based in Amsterdam, Noord-Holland, The Netherlands.",,,8650000,EUR,9995400,Series A,9995401,USD,9995401,8650000,EUR,9995400,Series A,Early Stage Venture,"Endeit Capital, VentureBuilders Capital",,,9,"524,016",info@amberscript.com,
Bodyguard,https://www.crunchbase.com/organization/bodyguard,2022-03-10,11-50,2018-06-01,day,"Apps, Artificial Intelligence, Internet, Social Media, Software","Nice, Provence-Alpes-Cote d'Azur, France","Bodyguard protects people, platforms and communities against toxic content online through smart & autonomous AI technology.","17,530",$1M to $10M,Active,For Profit,https://www.bodyguard.ai/,https://twitter.com/bodyguard_app,https://www.facebook.com/Bodyguard.intl/,https://www.linkedin.com/company/bodyguard-app/,,"Bodyguard’s expert text moderation solution protects individuals, families and businesses against online toxic content, cyberharassment and hate speech. The smarter and autonomous technology will help people, platforms and communities focus on the positive interactions and be shielded from the negative ones.",,,9000000,EUR,9912025,Series A,9912025,USD,9912025,9000000,EUR,9912025,Series A,Early Stage Venture,"Kima Ventures, Plug and Play Tech Center, Ring Capital, Angelsquare, Starquest Capital",,,43,"4,272",hello@bodyguard.ai,
Binalyze,https://www.crunchbase.com/organization/binalyze,2022-02-04,51-100,2018-03-01,day,"Cyber Security, Information Technology, Law Enforcement, Software","Tallinn, Harjumaa, Estonia",Binalyze develops digital forensic tools for enterprises that help in understanding the full extent of a cyber breach.,"17,555",Less than $1M,Active,For Profit,https://binalyze.com,https://twitter.com/binalyze,,https://www.linkedin.com/company/binalyze/,,Binalyze develops digital forensic tools for enterprises that help in understanding the full extent of a cyber breach.,,,10000000,USD,10000000,Seed,11813796,USD,11813796,10000000,USD,10000000,Seed,Seed,"Earlybird Venture Capital, OpenOcean",,,16,"5,533",contact@binalyze.com,+372 712 1345
Dwarfs,https://www.crunchbase.com/organization/dwarfs,2021-09-02,11-50,2021-01-01,year,"Brand Marketing, Consumer Goods, E-Commerce, Marketplace","Duivendrecht, Noord-Holland, The Netherlands",Dwarfs is an e-commerce platform that buys and grows e-commerce brands on marketplaces.,"17,601",,Active,For Profit,https://dwarfs.io/,,,https://www.linkedin.com/company/dwarfs,,Dwarfs is an e-commerce platform that buys and grows e-commerce brands on marketplaces.,,,30000000,EUR,35621965,Debt Financing,7500000,EUR,9166900,7500000,EUR,9166899,Series A,Early Stage Venture,"FJ Labs, Thrasio, Atlas Benjelloun, North Wall Capital, Harlan Capital Partners",,,35,"5,654",,
Ivy Farm Technologies,https://www.crunchbase.com/organization/ivy-farm-technologies,2021-12-23,11-50,2019-10-01,month,"AgTech, Biotechnology, Food and Beverage","Oxford, Oxfordshire, United Kingdom","Spun out of Oxford University, a purpose driven high-tech food company creating cultivated meat that’s better for animals, people and planet","17,668",,Active,,https://www.ivy.farm/,https://twitter.com/ivyfarm_tech,,https://www.linkedin.com/company/ivyfarm/,,"At Ivy Farm an inquisitive bunch of bioengineers, scientists and animal lovers who are pro bacon sandwiches and anti the scary effects of industrialized farming.  We use novel cell technology created by the University of Oxford to grow real meat that’s free from slaughter and free from antibiotics. Meat that’s low in saturated fat, that tastes fantastic in a spag bol. So watch this space – because science just got juicy.",,,20000000,USD,20000000,Seed,20000000,USD,20000000,20000000,USD,20000000,Seed,Seed,,,,23,502,info@ivy.farm,
GlycoEra,https://www.crunchbase.com/organization/glycoera,2021-11-05,11-50,2020-01-01,year,Biotechnology,"Schlieren, Zurich, Switzerland",GlycoEra is a CustomGlycanengineering platform that unlocks the glycan-mediated biology to develop a pipeline of novel therapeutics.,"17,673",,Active,For Profit,https://glycoera.com,,,https://www.linkedin.com/company/glycoera-ag,,GlycoEra is a CustomGlycan platform that unlocks the power of glycan-mediated biology to develop a pipeline of novel biologics.,,,45000000,CHF,49334802,Series A,45000000,CHF,49334802,45000000,CHF,49334802,Series A,Early Stage Venture,"Sofinnova Partners, 5AM Ventures, Roche Venture Fund, LimmaTech Biologics",2022-06-16,,17,,info@glycoera.com,+41 44 733 85 75.
CAPSLOCK,https://www.crunchbase.com/organization/capslock-c60b,2021-11-10,11-50,2019-09-11,day,"Cloud Security, Continuing Education, Cyber Security, EdTech, Education, Higher Education, Information Technology, Network Security, Training, Vocational Education","Manchester, Manchester, United Kingdom",CAPSLOCK re-skill adults into cyber security professionals at no up-front costs. Voted as UK's most innovative cyber security start-up 2021.,"17,711",,Active,For Profit,https://capslock.ac,https://twitter.com/capslockcyber,https://www.facebook.com/CapslockCyber/,https://www.linkedin.com/company/capslockuk,,"Voted as the UK's most innovative cyber security start-up by TechUK & DCMS, CAPSLOCK re-skill adults into cyber security professionals at no up-front costs. Their 4-month intensive online bootcamp costs £0 until a learner lands a job paying over £27k.  In March 2021, CAPSLOCK launched their pilot cohorts using income share agreements, re-skilling 86 adults who didn’t pay any up-front costs. Professional dancers, chefs, military veterans, accountants, and other career-changers enrolled and have since started lucrative cyber security careers. Dyson, the BBC, ITV, BAE, HSBC, Boohoo, and PwC have all hired CAPSLOCK graduates in aid of tackling the cyber security skills shortage. As part of their Income Share Agreement, those graduates will repay a percentage of their monthly income back to CAPSLOCK over a set period of time, but only once they have landed a high-paying role.",,,484000,GBP,649145,Pre-Seed,824000,GBP,1116526,484000,GBP,649145,Pre-Seed,Seed,"Innovate UK, British Business Bank, Angel Investors, Ufi Ventures, GC Angels",,,98,"30,069",hello@capslock.ac,
Boxy,https://www.crunchbase.com/organization/storelift-3502,2022-02-17,11-50,2018-04-01,month,"Computer Vision, Retail Technology","Paris, Ile-de-France, France",Boxy is building a micro retailer by designing a new store format that is fully autonomous and deployed where people work and live.,"17,740",Less than $1M,Active,For Profit,https://www.getboxy.co/,,https://www.facebook.com/boxyfrance,https://www.linkedin.com/company/getboxy/,,Boxy is building a micro retailer by designing a new store format that is fully autonomous and deployed where people work and live.,,,25000000,EUR,28409510,Series A,30000000,EUR,33846261,25000000,EUR,28409510,Series A,Early Stage Venture,"LocalGlobe, CapHorn Invest, Serena, Bootstrap Europe",,,10,"5,166",info@storelift.co,+33618985156
Visionary.ai,https://www.crunchbase.com/organization/visionary-ai,2022-02-28,11-50,2020-12-01,day,Artificial Intelligence,"Tel Aviv, Tel Aviv, Israel",Next-generation Image Signal Processing (ISP) that leverages the power of AI,"17,766",,Active,For Profit,https://www.visionary.ai/,,,https://il.linkedin.com/company/visionary-ai,,"Visionary.ai makes visual data capturing possible across all circumstances. They revolutionized digital imaging utilizing artificial intelligence to improve image quality and enable visual data capturing in situations where it is currently limited (low light, fog, WDR). https://www.visionary.ai/",,,2500000,USD,2500000,Seed,7000000,USD,7000000,2500000,USD,2500000,Seed,Seed,"Spring Ventures, Ibex Investors",,,5,"13,506",hello@Visionary.ai,0525550984
ORIGYN Foundation,https://www.crunchbase.com/organization/origyn-foundation,2021-11-23,11-50,2020-01-01,year,"Artificial Intelligence, Blockchain, Information Technology, Machine Learning, Software","Neuchâtel, Neuchatel, Switzerland",Non-profit Foundation,"17,788",,Active,Non-profit,https://www.origyn.ch/,https://twitter.com/ORIGYNTech,https://www.facebook.com/Origynfoundation/,https://www.linkedin.com/company/origyn-foundation/mycompany/,,,,,20000000,USD,20000000,Venture - Series Unknown,20000000,USD,20000000,20000000,USD,20000000,Venture - Series Unknown,,"Polychain, Vectr, Bill Ackman, Paris Hilton, GD10 Ventures",,,9,"23,662",hello@origyn.ch,
Accure,https://www.crunchbase.com/organization/accure-battery-intelligence,2021-09-08,11-50,2020-07-01,day,"Analytics, Artificial Intelligence, Battery, Machine Learning, Predictive Analytics, Renewable Energy, Software","Aachen, Nordrhein-Westfalen, Germany",Accure is a battery analytics company.,"17,810",$500M to $1B,Active,For Profit,https://accure-batteries.com,,,https://www.linkedin.com/company/accure-battery-intelligence/,,Accure is a battery analytics company. The software and AI-driven solution assist manufacturers and operators in monitoring the overall health and safety conditions of a battery system throughout its lifecycle.,,,8000000,USD,8000000,Series A,10685347,USD,10685347,8000000,USD,8000000,Series A,Early Stage Venture,"Capnamic Ventures, Blue Bear Capital, 42CAP",,,11,657,info@accure.net,
Nestcoin,https://www.crunchbase.com/organization/nestcoin,2022-02-01,11-50,2021-01-01,year,"Cryptocurrency, Information Technology","Tórtola, Castilla-La Mancha, Spain","Nestcoin is a web3 application company that builds, operates, and invests in crypto-native products.","17,936",,Active,For Profit,https://nestcoin.com/,https://twitter.com/nestcoin,,https://www.linkedin.com/company/nestcoin/,,"Nestcoin is a web3 application company that builds, operates, and invests in crypto-native products.",,,6450000,USD,6450000,Pre-Seed,6450000,USD,6450000,6450000,USD,6450000,Pre-Seed,Seed,"MSA Novo, Electric Capital, Alameda Research, Future Africa, CMT Digital Ventures",,,10,"1,574",Haroldcarey888@gmail.com,
asistensi,https://www.crunchbase.com/organization/asistensi,2021-07-22,101-250,2020-01-01,month,"Financial Services, Health Care, InsurTech","Madrid, Madrid, Spain",Health insurance remittance that gives migrants a better way to support the health of their families back home,"17,981",$1M to $10M,Active,For Profit,https://asistensi.com,https://twitter.com/asisten_si,https://www.facebook.com/Asistensi-101600031451872,https://www.linkedin.com/company/asistensi,,"With asistensi, migrants will be protected against the financial setbacks of health emergencies in their families back home while becoming the heroes that take care of the wellness of their loved ones. We believe that health is key to the prosperity of nations, and we are on a mission to bring it to the countries that need it the most with a digital-first approach to health insurance and a platform that facilitates support from its emigrants.",,,10500000,USD,10500000,Series A,14000000,USD,14000000,10500000,USD,10500000,Series A,Early Stage Venture,"468 Capital, Alma Mundi Ventures, Mountain Nazca",,,10,"2,110",crunchbase@asistensi.com,
Tangany,https://www.crunchbase.com/organization/tangany,2022-04-20,11-50,2018-09-01,day,"B2B, Blockchain, Cloud Infrastructure, Cryptocurrency, SaaS","Munich, Bayern, Germany",Tangany is a regulated European blockchain custody provider for companies (B2B SaaS).,"18,056",Less than $1M,Active,For Profit,https://tangany.com,https://twitter.com/tangany,https://www.facebook.com/tanganywallet/,https://www.linkedin.com/company/tangany,,"Tangany provides a custody Wallet as a Service for businesses to easily integrate blockchain technology into legacy and new systems via an API. The provided infrastructure comes with the ability to create and store private keys safely in a FIPS140-2 certified HSM environment, to sign transactions and to send those transactions via connectors to the chosen blockchain. The connectors (Meta Blockchain API) enable clients to connect to different public (like Ethereum or Bitcoin) and private blockchains (like Hyperledger or Privat Ethereum instances).",,,7000000,EUR,7595065,Seed,7816903,USD,7816903,7000000,EUR,7595065,Seed,Seed,"High-Tech Grunderfonds, Nauta Capital, Creator Collective Capital, Philipp Treuner",,,7,"14,798",info@tangany.com,+49 89 9982095-70
Luca,https://www.crunchbase.com/organization/luca-62a4,2021-11-01,11-50,2020-12-01,month,"Artificial Intelligence, EdTech, Education, Primary Education, SaaS, Secondary Education","Madrid, Madrid, Spain",Saas K12 Learning Platform,"18,231",,Active,For Profit,https://www.lucaedu.com/,https://twitter.com/lucaeducacion,https://www.facebook.com/lucaeducacion,https://www.linkedin.com/company/lucaedu,,"Luca's learning platform provides learning programs for primary and secondary Spanish Speaking Latin American school students. The learning platform offers pre-recorded K12 videos, gamified content and AI powered personalized study paths,  covering the entire official academic curriculum and national exams prep. Luca is a VC backed startup with HQ in Mexico City, Lisbon & Madrid",,,3000000,USD,3000000,Pre-Seed,3000000,USD,3000000,3000000,USD,3000000,Pre-Seed,Seed,"Heartcore Capital, Shilling, Brian Requarth, Diogo Monica, Hugo Arevalo",,,11,"79,682",,
Second Nature AI,https://www.crunchbase.com/organization/secondnature-ai,2022-01-12,11-50,2018-01-01,year,"Artificial Intelligence, Machine Learning, SaaS, Software","Tel Aviv, Tel Aviv, Israel",Second Nature offers a sales coaching software that helps sales teams perform better.,"18,380",,Active,For Profit,https://secondnature.ai/,,https://www.facebook.com/SecondNatureAI/,https://www.linkedin.com/company/second-nature-ai/,,"Second Nature helps people have better conversations. The company is the first to offer a platform for immersive sales simulations in natural language.  By practicing with “Jenny” and other AI-powered conversation partners, sales professionals improve their performance and confidence by gaining real time, personalized feedback. Managers and executives use Second Nature to effectively roll out their strategy and influence their teams’ conversations in the field, at scale. The company is based in Tel Aviv and New York. For more information, please visit www.secondnature.ai.",,,12500000,USD,12500000,Series A,15500000,USD,15500000,12500000,USD,12500000,Series A,Early Stage Venture,"StageOne Ventures, signals Venture Capital, Cardumen Capital, Zoom Apps Fund",,,11,"16,042",sales@secondnature.ai,
RedBox,https://www.crunchbase.com/organization/redbox-1308,2022-05-25,101-250,2019-01-01,year,"E-Commerce, Logistics, Shipping","Riyadh, Ar Riyad, Saudi Arabia",RedBox ships online products to the nearest smart locker for faster delivery and easy access.,"18,446",,Active,For Profit,https://redboxsa.com/,https://twitter.com/RBoxsa,https://www.facebook.com/redboxksa/,https://www.linkedin.com/company/redboxsa/,,,,,19000000,SAR,5065267,Seed,30500000,SAR,8130544,19000000,SAR,5065267,Seed,Seed,"Mad'a Investment Company, Vision Ventures, RAAF Holding Company, RAF Investments",,,9,"55,773",info@redboxsa.com,+966 800 111 1960
PackUpp Fast Delivery,https://www.crunchbase.com/organization/packupp,2021-12-01,11-50,2020-03-02,day,"Delivery, Delivery Service, E-Commerce, Fleet Management, Food Delivery, Last Mile Transportation, Logistics, Same Day Delivery, Transportation","Istanbul, Istanbul, Turkey",PackUpp is a New Generation Last Mile Delivery Technology Company that provides On-Demand Ecommerce Fast Delivery Services,"18,460",Less than $1M,Active,For Profit,http://www.packupp.com,https://twitter.com/packupptr,https://www.facebook.com/packupptr/,http://www.linkedin.com/company/packupp,,"PackUpp is a new generation on-demand “Fast Delivery” technology company and we provide E-Commerce delivery solutions. We serve “Next-Day”, ""Same-Day"" and ""3 Hours Express"" deliveries to e-commerce companies. In addition to it, we form “Private Dedicated Field Delivery Teams” to companies as a special delivery team of brand. We digitalize all the delivery process by our unique software and technology. Focus on the job which you are best at! Rest, all your packages will be delivered by PackUpp, Fast Delivery Expert.",,,1500000,USD,1500000,Seed,2650000,USD,2650000,1500000,USD,1500000,Seed,Seed,"Keiretsu Forum, TRANGELS, GirişimTürk",,,13,"30,754",emreozcan@packupp.com,+905424063580
60 Decibels,https://www.crunchbase.com/organization/60-decibels,2021-12-21,51-100,2019-01-01,year,"Market Research, Social Entrepreneurship","London, England, United Kingdom",60 Decibels brings speed and repeatability to social impact measurement and customer insights.,"18,483",,Active,For Profit,https://www.60decibels.com/,https://twitter.com/60_decibels,,https://www.linkedin.com/company/60-decibels/?originalSubdomain=in,,60 Decibels makes it easy to listen to the people who matter most. Their Lean DataSM approach turns customer voice into high-value insights that help you grow your business and maximise your impact.,,,8800000,USD,8800000,Series A,10500000,USD,10500000,8800000,USD,8800000,Series A,Early Stage Venture,"Acumen, FPE Capital, Ceniarth",,,10,"3,766",,
Primex Finance,https://www.crunchbase.com/organization/primex-finance,2021-12-28,11-50,2021-06-01,month,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Lending, Open Source, Peer to Peer, Trading Platform","Tallinn, Harjumaa, Estonia",Decentralized Prime Brokerage protocol for cross-dex margin trading.,"18,626",,Active,For Profit,https://primex.finance/,https://twitter.com/primex_official,,https://www.linkedin.com/company/primexlabs/,,"Primex is the cross-chain prime brokerage liquidity protocol for cross-DEX margin trading with trader scoring mechanisms. In Primex, lenders provide liquidity to pools where traders can use it for leveraged trading in cross-DEX environments, while lenders then have an opportunity to earn high yields; their interest is generated from margin fees and profits on successful trades. Lenders have the flexibility to manage their risks and return by providing liquidity to a variety of risk buckets, subsets of liquidity pools that regulate trader risk strategies.",,,5700000,USD,5700000,Seed,5700000,USD,5700000,5700000,USD,5700000,Seed,Seed,"LedgerPrime, GSR, Mask Network, Wintermute Trading, Hypersphere Ventures",,,93,202,info@primex.finance,
Mirta,https://www.crunchbase.com/organization/mirta-30c7,2021-12-20,51-100,2019-01-01,year,"B2B, E-Commerce, Fashion, Marketplace, Retail, Wholesale","Milan, Lombardia, Italy","A B2B platform for high-end wholesale, bringing together a marketplace and a order management software for the brands that join the platform","18,722",,Active,For Profit,https://mirta.com,https://twitter.com/mirta_official,https://www.facebook.com/mirtaofficial/,https://www.linkedin.com/company/mirtaofficial,,"Founded in 2019 from Ciro Di Lanno and Martina Capriotti, Mirta is the digital showroom that connects contemporary brands with independent curators, meaning retail shops, online stores and influencers. Mirta’s mission is to revolutionize the way high-end brands and retailers sell and buy wholesale.  Mirta’s marketplace allows the curators to find new brands, choose products and buy them online. Mirta offers unique advantages to the retailers – e.g., no minimum order, net 60 days payment terms, free returns. Mirta brings the advantages of the B2C ecommerce to the B2B world. Mirta also provides freely to brands an order management backoffice, Mirta Officina, which permits them to manage their orders – e.g., shipping, invoicing, custom procedures, payments access to data and analytics.",,,2500000,EUR,2819296,Seed,5000000,EUR,5557208,2500000,EUR,2819296,Seed,Seed,"Picus Capital, TA Ventures, Vintage Capital, Gianluca Boni",,,10,"66,868",hello@mirta.com,
Axelera AI,https://www.crunchbase.com/organization/axelera-ai,2021-09-15,11-50,2021-01-01,year,"Artificial Intelligence, Machine Learning, Semiconductor, Software","Eindhoven, Noord-Brabant, The Netherlands",Creating the next generation of AI hardware & software,"18,795",,Active,,https://www.axelera.ai/,https://twitter.com/AxeleraAI,,https://www.linkedin.com/company/axelera-ai/,,"Axelera AI is developing a game-changing hardware and software platform for AI. Incubated in 2019 by the emerging technologies leader Bitfury and joined by the leading nano-technology group imec in early 2020, Axelera AI launched as a new company in 2021. Headquartered in the AI Innovation Center of the High Tech Campus in Eindhoven, Axelera AI has R&D offices in Belgium, Switzerland, and Italy. Its team of experts in AI software and hardware hail from top AI firms and Fortune 500 companies.",,,12000000,USD,12000000,Seed,12000000,USD,12000000,12000000,USD,12000000,Seed,Seed,"Bitfury Group, imec, Innovation Industries, imec.xpand",,,9,"2,387",,
Banger,https://www.crunchbase.com/organization/banger-games,2022-04-30,11-50,2019-10-10,day,"Blockchain, eSports, Gaming, Social Media","Madrid, Madrid, Spain",Banger is a blockchain-powered gaming platform that provides its users with an array of earning possibilities.,"18,849",,Active,For Profit,https://www.bangergames.com,https://twitter.com/bangergamesgg?lang=en,,https://www.linkedin.com/company/banger-games/,,"Banger is a blockchain-powered gaming platform that provides its users with an array of earning possibilities. Banger was founded in 2019 and was headquartered in Madrid, Spain.",,,,,,Venture - Series Unknown,11622825,USD,11622825,,,,Venture - Series Unknown,,"Avalanche, GSR, Poolz, Shima Capital, Jaynti Kanani",,,10,"10,381",contact@bangergames.com,
QANplatform [QAN blockchain platform],https://www.crunchbase.com/organization/qanplatform-qan-blockchain-platform,2021-09-10,11-50,2019-01-01,year,"Blockchain, Cryptocurrency, Cyber Security, Information Technology, Quantum Computing, Software","Tallinn, Harjumaa, Estonia",QANplatform is the Quantum-resistant hybrid blockchain platform. Build your software applications like DApps or Defi and run business processes on blockchain in 5 minutes with QANplatform.,"18,870",,Active,For Profit,https://www.qanplatform.com,https://twitter.com/QANplatform,https://www.facebook.com/QANplatform,https://linkedin.com/company/qanplatform,,"Why is QAN blockchain platform different: quantum-resistant security (post-quantum cryptographic algorithm implemented in Rust lang), unique Proof-of-Randomness (PoR) consensus algorithm by QAN, Lowest hardware and energy requirements on the market, Transaction validation even with a mobile phone, Rapid cloud platform deployment,  Multi-language development. ############  Tags: Quantum blockchain, Quantum resistant-blockchain, Enterprise blockchain, Hybrid blockchain, Private blockchain, Public blockchain, Blockchain",,,,,,Secondary Market,2800000,USD,2800000,700000,USD,700000,Undisclosed,,"TrustPad, BSCPad, Einsvill Labs, DeltaHub Capital, Insignius Capital",,,15,"16,859",hello@qanplatform.com,
KodyPay,https://www.crunchbase.com/organization/kodypay,2021-07-12,11-50,2018-08-22,day,"E-Commerce, FinTech, Mobile Payments, Point of Sale, Retail Technology","London, England, United Kingdom",Revolutionising in-person payments to grow your business with a trustworthy and innovative solution.,"18,995",$1M to $10M,Active,For Profit,http://www.kodypay.com,https://twitter.com/KodyPay,https://www.facebook.com/kodypay,https://www.linkedin.com/company/kodypay-ltd,,"KodyPay is on a mission to make in-person payment acceptance easy. Today, paying in person presents common problems for businesses, such as high cost, long queues, and limited choices regarding payment methods. KodyPay fully integrates the payment ecosystem so that businesses can offer their customers more control over their payment choice, making their transactions both quicker and more convenient. KodyPay was founded in the summer of 2018 by a small group of final-year high school students. 22-year-old Co-founders Yoyo Chang (CEO) and Jack Howell (CDO) have raised US$6m to date at KodyPay. Today, KodyPay's platform is growing to connect thousands of customers with venues across the UK each day.",,,3250000,USD,3250000,Seed,5972500,USD,5972500,3250000,USD,3250000,Seed,Seed,"HU Investments, Yoyo Chang, Hank Uberoi, University of York, Adam Knight",2022-04-19,,11,"24,532",info@kodypay.com,
Typewise,https://www.crunchbase.com/organization/typewise,2022-07-01,11-50,2019-12-01,month,"Artificial Intelligence, Machine Learning, Mobile, Mobile Apps, Software","Binningen, Basel-Stadt, Switzerland",Typewise is a Swiss deep tech company that builds text prediction AI.,"19,019",Less than $1M,Active,For Profit,https://typewise.app,https://twitter.com/typewise_app,https://www.facebook.com/typewisekeyboard,https://www.linkedin.com/company/typewise,,"Typewise is a Swiss deep tech company, on a mission to make daily lives easier by 'decoding human thoughts'. We have three products:  1. Typewise Keyboard - an innovative keyboard app optimised for smartphones, it has been installed almost 2 million times and is the winner of the CES Innovation Award, two years running (2021 and 2022). 2. AI Writing Assistant - powered by our text prediction engine, our browser-based writing assistant enables faster and higher quality written communication,  increasing productivity by 2-3x. This is a B2B product, specifically aimed at customer service and sales teams.  3. Text Prediction API - we offer our advanced tech to developers via our API.",,,500000,USD,500000,Seed,3447167,USD,3447167,500000,USD,500000,Seed,Seed,"Y Combinator, SICTIC, StartAngels Network, TR Invest",,,7,"22,686",info@typewise.app,
Sency.,https://www.crunchbase.com/organization/fitv-ai,2022-04-25,11-50,2019-03-14,day,"Artificial Intelligence, Computer Vision, Fitness, Health Care, Machine Learning, Real Time, Wellness","Tel Aviv, Tel Aviv, Israel","By understanding human movement, Sency drives millions to live an active, balanced and healthy life","19,035",,Active,For Profit,https://www.sency.ai,,,https://www.linkedin.com/company/fitvai/about/,,"Using computer vision, Sency builds the brain of movement in order to drive people towards an active and healthy life. Founded in 2019, Sency created the See.Know.Guide (SKG) methodology. Using a mobile device camera, our unique algorithm understands movement thanks to massive data collection and expert knowledge. As a result, it provides real-time guidance and personalized plans. Sency's brain is constantly learning to serve with accurate actionable insights. Our technology is running on the Edge. All data is kept on the client’s device: no streaming to the cloud means no latency, no recording, and no chance of a breach of privacy. As a user-centric approach,  Sency deploys interactive experiences on consumer devices only - no hardware required. Our first applications based on our core technology are the “Sency Health” and the “WODProof” apps. From health to fitness, Sency already helped 450,000 people worldwide to achieve their physical goals and keep continuing.",,,4000000,USD,4000000,Seed,6400000,USD,6400000,4000000,USD,4000000,Seed,Seed,Welltech Ventures,,,51,"2,127",contact@sency.ai,
The Outfit,https://www.crunchbase.com/organization/the-outfit,2022-06-22,11-50,2021-06-10,day,"E-Commerce, Fashion, Information Technology","Bucharest, Bucuresti, Romania","The Outfit is a new shopping experience, helping customers discover & buy the right clothes for their body, style and occasion","19,037",,Active,For Profit,https://www.theoutfit.ro/,,https://www.facebook.com/theoutfitromania/,https://www.linkedin.com/company/the-outfit-romania,,The Outfit combines data science and personal stylists know-how to deliver personalisation at scale.,,,750000,EUR,792357,Seed,1050000,EUR,1150224,750000,EUR,792357,Seed,Seed,,,,,,comenzi@theoutfit.ro,
